,Score_Tm,Score_Opp,Off_1stD,Off_PassY,Off_RushY,Off_TO,Def_1stD,Def_PassY,Def_RushY,Def_TO
0,24.0,14.0,22.0,207.0,138.0,3.0,11.0,139.0,79.0,3.0
1,12.0,31.0,4.0,72.0,34.0,0.0,23.0,311.0,68.0,5.0
2,25.0,20.0,16.0,184.0,72.0,3.0,27.0,307.0,170.0,4.0
3,9.0,30.0,15.0,122.0,58.0,6.0,16.0,179.0,139.0,3.0
4,33.0,18.0,17.0,234.0,155.0,6.0,12.0,272.0,49.0,2.0
5,31.0,21.0,16.0,235.0,153.0,5.0,11.0,279.0,52.0,2.0
6,2.0,49.0,12.0,80.0,79.0,7.0,14.0,261.0,127.0,4.0
7,19.0,25.0,21.0,301.0,112.0,3.0,17.0,195.0,61.0,2.0
8,30.0,5.0,18.0,190.0,120.0,1.0,14.0,160.0,56.0,5.0
9,31.0,8.0,25.0,152.0,208.0,1.0,12.0,147.0,88.0,2.0
10,11.0,24.0,16.0,283.0,78.0,4.0,19.0,206.0,132.0,4.0
11,10.0,29.0,25.0,163.0,119.0,0.0,27.0,371.0,125.0,1.0
12,11.0,29.0,14.0,128.0,89.0,0.0,25.0,266.0,63.0,2.0
13,24.0,37.0,8.0,127.0,63.0,2.0,25.0,91.0,264.0,0.0
14,35.0,11.0,23.0,61.0,336.0,2.0,17.0,175.0,139.0,1.0
15,36.0,10.0,19.0,202.0,191.0,1.0,14.0,127.0,66.0,4.0
16,14.0,19.0,24.0,207.0,92.0,3.0,17.0,173.0,80.0,0.0
17,6.0,30.0,24.0,213.0,83.0,5.0,21.0,236.0,127.0,4.0
18,20.0,37.0,16.0,117.0,112.0,0.0,24.0,196.0,206.0,4.0
19,26.0,29.0,23.0,225.0,133.0,2.0,18.0,199.0,112.0,2.0
20,26.0,34.0,17.0,255.0,108.0,6.0,17.0,327.0,70.0,0.0
21,23.0,16.0,23.0,108.0,208.0,2.0,11.0,128.0,80.0,2.0
22,27.0,21.0,19.0,136.0,243.0,1.0,21.0,287.0,109.0,7.0
23,26.0,20.0,19.0,142.0,192.0,2.0,27.0,265.0,118.0,4.0
24,20.0,18.0,20.0,67.0,181.0,4.0,14.0,185.0,71.0,3.0
25,16.0,18.0,19.0,94.0,320.0,6.0,24.0,152.0,140.0,1.0
26,10.0,23.0,14.0,168.0,114.0,6.0,23.0,192.0,151.0,3.0
27,17.0,28.0,23.0,189.0,93.0,5.0,22.0,311.0,102.0,4.0
28,31.0,0.0,13.0,113.0,120.0,1.0,6.0,22.0,91.0,1.0
29,7.0,10.0,12.0,172.0,68.0,6.0,16.0,164.0,67.0,10.0
30,32.0,33.0,32.0,421.0,68.0,4.0,15.0,267.0,104.0,0.0
31,12.0,11.0,14.0,9.0,139.0,3.0,7.0,95.0,96.0,3.0
32,20.0,34.0,12.0,180.0,67.0,2.0,19.0,345.0,180.0,5.0
33,14.0,18.0,16.0,153.0,68.0,1.0,22.0,240.0,132.0,4.0
34,16.0,27.0,15.0,202.0,53.0,4.0,30.0,305.0,97.0,3.0
35,0.0,48.0,21.0,149.0,153.0,4.0,29.0,306.0,101.0,2.0
36,11.0,7.0,17.0,86.0,189.0,2.0,21.0,145.0,97.0,7.0
37,3.0,12.0,18.0,275.0,53.0,1.0,8.0,129.0,94.0,4.0
38,16.0,15.0,17.0,159.0,139.0,2.0,17.0,154.0,170.0,0.0
